,n_rejected,workertimes,unp_rank,generations,param_norm,grad_norm,n_reused,walltimes,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
30,0,3.2817325592041016,1,30,18.438393,5.7461834,0,119.02089071273804,-1.4251863956451416,-1.4251742362976074,0.05,-5.9914646,0.05,-1.6044062376022339,-1.2933286428451538,-1.4251682758331299,0.0038430197164416313,-142.51683044433594,-1.2706647,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
31,0,2.9970970153808594,1,31,18.63913,5.7149153,0,122.60833406448364,-1.3959027528762817,-1.395938754081726,0.05,-5.9914646,0.05,-1.5497287511825562,-1.2781224250793457,-1.3958334922790527,0.002157461130991578,-139.58334350585938,-1.2085212,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
32,0,2.906933546066284,1,32,18.83664,5.697058,0,126.10521745681763,-1.3638436794281006,-1.3638452291488647,0.05,-5.9914646,0.05,-1.4924485683441162,-1.2760722637176514,-1.363817572593689,0.001877552829682827,-136.3817596435547,-1.1802596,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
33,0,3.1481735706329346,1,33,19.03591,5.6832294,0,129.8770456314087,-1.3397548198699951,-1.3397748470306396,0.05,-5.9914646,0.05,-1.4473105669021606,-1.2372798919677734,-1.3397520780563354,0.001957694999873638,-133.97520446777344,-1.0997801,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
34,0,3.1706056594848633,1,34,19.236578,5.624839,0,133.6719605922699,-1.3108938932418823,-1.310945987701416,0.05,-5.9914646,0.05,-1.498577356338501,-1.1669379472732544,-1.3108360767364502,0.0027695605531334877,-131.08360290527344,-1.132035,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
35,0,3.2359213829040527,1,35,19.437866,5.623793,0,137.53577303886414,-1.2841248512268066,-1.2841395139694214,0.05,-5.9914646,0.05,-1.4015851020812988,-1.172210693359375,-1.284079909324646,0.0020198861602693796,-128.40798950195312,-1.0599264,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
36,0,2.985605001449585,1,36,19.63932,5.7268686,0,141.1190950870514,-1.2529364824295044,-1.2529380321502686,0.05,-5.9914646,0.05,-1.3531239032745361,-1.141982913017273,-1.2528998851776123,0.0014519814867526293,-125.28998565673828,-1.0677305,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
37,0,3.067951202392578,1,37,19.839151,5.6858964,0,144.8094084262848,-1.2395734786987305,-1.2396020889282227,0.05,-5.9914646,0.05,-1.375173807144165,-1.1223989725112915,-1.239561676979065,0.001813983777537942,-123.95616912841797,-1.0538411,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
38,0,3.1830174922943115,1,38,20.038486,5.6466956,0,148.61729168891907,-1.209911823272705,-1.209955096244812,0.05,-5.9914646,0.05,-1.3241987228393555,-1.1027437448501587,-1.209842324256897,0.0017909477464854717,-120.9842300415039,-1.0065882,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
39,0,3.073265790939331,1,39,20.237106,5.687097,0,152.29014229774475,-1.1919915676116943,-1.1919642686843872,0.05,-5.9914646,0.05,-1.2927507162094116,-1.0974165201187134,-1.1919711828231812,0.0015836934326216578,-119.19711303710938,-1.0415305,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
40,0,2.84995698928833,1,40,20.433908,5.6507754,0,155.75496220588684,-1.174243688583374,-1.1741483211517334,0.05,-5.9914646,0.05,-1.304770588874817,-1.0779346227645874,-1.174251675605774,0.0020425484981387854,-117.42516326904297,-1.0142468,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
41,0,2.8854691982269287,1,41,20.62798,5.6976085,0,159.19291400909424,-1.155989646911621,-1.1558969020843506,0.05,-5.9914646,0.05,-1.263085126876831,-1.0536167621612549,-1.1560155153274536,0.0020358068868517876,-115.60154724121094,-0.96103734,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
42,0,3.094818115234375,1,42,20.82111,5.682319,0,162.8889992237091,-1.1297340393066406,-1.129690170288086,0.05,-5.9914646,0.05,-1.2300831079483032,-0.9882014393806458,-1.1297889947891235,0.002090193796902895,-112.9789047241211,-0.96740663,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
43,0,3.0531084537506104,1,43,21.013783,5.6807504,0,166.49020385742188,-1.114363670349121,-1.1144932508468628,0.05,-5.9914646,0.05,-1.2720589637756348,-1.006439447402954,-1.1142854690551758,0.0018315897323191166,-111.42854309082031,-0.9109819,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
44,0,2.8189003467559814,1,44,21.204002,5.7044578,0,169.85937213897705,-1.092763900756836,-1.0927871465682983,0.05,-5.9914646,0.05,-1.2084219455718994,-1.0009843111038208,-1.0927526950836182,0.0018318427028134465,-109.2752685546875,-0.95031166,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
45,0,2.982863187789917,1,45,21.39367,5.671651,0,173.4428997039795,-1.0765652656555176,-1.0765888690948486,0.05,-5.9914646,0.05,-1.167629599571228,-0.9928162097930908,-1.0765291452407837,0.0018279928481206298,-107.65291595458984,-0.90374565,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
46,0,3.3180034160614014,1,46,21.580906,5.67933,0,177.3601427078247,-1.059313416481018,-1.0592904090881348,0.05,-5.9914646,0.05,-1.1560782194137573,-0.9620945453643799,-1.0593348741531372,0.0016277516260743141,-105.93348693847656,-0.92122704,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
47,0,3.207304000854492,1,47,21.767876,5.7206206,0,181.19450902938843,-1.0363048315048218,-1.0362203121185303,0.05,-5.9914646,0.05,-1.1310197114944458,-0.930637001991272,-1.0362811088562012,0.0015888044144958258,-103.62811279296875,-0.9079256,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
48,0,3.1793763637542725,1,48,21.952791,5.6940722,0,184.97196626663208,-1.0224372148513794,-1.022421956062317,0.05,-5.9914646,0.05,-1.1053463220596313,-0.9210287928581238,-1.0224496126174927,0.0014799661003053188,-102.24496459960938,-0.845896,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
49,0,3.09682035446167,1,49,22.136377,5.664848,0,188.66693210601807,-1.0041186809539795,-1.0041557550430298,0.05,-5.9914646,0.05,-1.117012619972229,-0.9100192785263062,-1.0040314197540283,0.0017552502686157823,-100.40314483642578,-0.84316015,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
50,0,5.7429280281066895,1,50,22.3196,5.6710925,0,195.01089811325073,-0.9838612079620361,-0.9838373064994812,0.05,-5.9914646,0.05,-1.0950767993927002,-0.8928443789482117,-0.9838891625404358,0.001477053272537887,-98.388916015625,-0.8215071,-0.8079188,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
51,0,3.4843926429748535,1,51,22.499638,5.6565404,0,199.13177514076233,-0.9645982980728149,-0.9646451473236084,0.05,-5.9914646,0.05,-1.066307783126831,-0.887359619140625,-0.9645491242408752,0.001438654842786491,-96.45491027832031,-0.77964735,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
52,0,3.179758310317993,1,52,22.678465,5.62782,0,202.91139602661133,-0.9473193287849426,-0.9474198222160339,0.05,-5.9914646,0.05,-1.0325617790222168,-0.8587566614151001,-0.9472189545631409,0.0012911171652376652,-94.72189331054688,-0.7871817,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
53,0,3.2637736797332764,1,53,22.852375,5.7081275,0,206.77412867546082,-0.9241355061531067,-0.9241687655448914,0.05,-5.9914646,0.05,-0.9932141900062561,-0.8456632494926453,-0.9241114258766174,0.0009902791352942586,-92.41114044189453,-0.797955,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
54,0,3.2763946056365967,1,54,23.027449,5.6991253,0,210.68988752365112,-0.908000111579895,-0.9080404043197632,0.05,-5.9914646,0.05,-1.0213767290115356,-0.8267812132835388,-0.9079484343528748,0.0011980471899732947,-90.79484558105469,-0.78536874,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
55,0,3.1990461349487305,1,55,23.203875,5.695916,0,214.62335300445557,-0.8885045051574707,-0.8885673880577087,0.05,-5.9914646,0.05,-0.9767972826957703,-0.8110121488571167,-0.8884785175323486,0.0013219979591667652,-88.84785461425781,-0.77031153,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
