,n_rejected,unp_rank,walltimes,workertimes,n_reused,generations,grad_norm,param_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
78,0,3,2675.167392015457,30.04851531982422,0,78,2.1324267,131.71198,0.0,0.0,0.050865665,-5.988571,1.0,1.0,0.0,280.0,149.6,1947.84,14960.0,220.0,,721,1000,984.26,2879.9323999999997,98426,1000,
79,0,1,2709.2875106334686,28.903587579727173,0,79,2.1317885,132.1442,0.0,0.0,0.050804872,-5.988571,1.0,1.0,0.0,240.0,151.8,1928.76,15180.0,240.0,,410,1000,974.75,7064.6875,97475,1000,
80,0,11,2743.8002989292145,29.317633867263794,0,80,2.1322682,132.56352,0.0,0.0,0.050750528,-5.988571,1.0,1.0,0.0,240.0,158.8,1998.5599999999997,15880.0,200.0,,522,1000,983.89,4816.0379,98389,1000,
81,0,6,2778.0697462558746,29.051390886306763,0,81,2.133738,132.97192,0.0,0.0,0.050704435,-5.988571,1.0,1.0,0.0,240.0,153.6,2151.0399999999995,15360.0,200.0,,725,1000,981.71,2577.8059,98171,1000,
82,0,14,2812.7483842372894,29.46894097328186,0,82,2.1313827,133.3701,0.0,0.0,0.05063636,-5.988571,1.0,1.0,0.0,240.0,153.8,1653.56,15380.0,180.0,,748,1000,984.94,2516.6163999999994,98494,992,
83,0,13,2847.270281791687,29.353220224380493,0,83,2.1323678,133.7561,0.0,0.0,0.050558105,-5.988571,1.0,1.0,0.0,260.0,141.4,2210.0399999999995,14140.0,180.0,,473,1000,981.76,4913.202400000001,98176,1000,
84,0,8,2882.331859588623,29.700003623962402,0,84,2.132572,134.13411,0.0,0.0,0.050490107,-5.988571,1.0,1.0,40.0,240.0,159.2,1271.36,15920.0,200.0,,716,1000,989.22,2101.2716,98922,1000,
85,0,23,2916.584264755249,28.98971199989319,0,85,2.1307492,134.50485,0.0,0.0,0.050408542,-5.988571,1.0,1.0,20.0,260.0,153.0,1579.0,15300.0,160.0,,533,1000,986.6,3435.4599999999996,98660,1000,
86,0,70,2951.1178488731384,29.134222507476807,0,86,2.13275,134.86777,0.0,0.0,0.050310943,-5.988571,1.0,1.0,40.0,240.0,148.8,1570.5600000000004,14880.0,120.0,,570,1000,983.59,3957.6619,98359,1000,
87,0,16,2985.697029352188,29.398832321166992,0,87,2.1321247,135.22241,0.0,0.0,0.050267298,-5.988571,1.0,1.0,20.0,260.0,154.6,1582.84,15460.0,180.0,,537,1000,986.25,3114.7275,98625,1000,
88,0,71,3021.1961467266083,30.272377967834473,0,88,2.1318266,135.56955,0.0,0.0,0.050227083,-5.988571,1.0,1.0,20.0,240.0,152.6,1797.2400000000007,15260.0,140.0,,705,1000,988.51,1767.3899,98851,1000,
89,0,19,3056.5779230594635,30.166407585144043,0,89,2.1319907,135.9083,0.0,0.0,0.05019324,-5.988571,1.0,1.0,0.0,280.0,155.4,2230.84,15540.0,180.0,,540,1000,987.71,3194.6858999999995,98771,1000,
90,0,70,3091.861383676529,30.08743715286255,0,90,2.1331375,136.24104,0.0,0.0,0.050126832,-5.988571,1.0,1.0,80.0,260.0,155.4,1630.84,15540.0,140.0,,737,1000,992.37,1013.5731,99237,1000,
91,0,11,3126.881817817688,29.51706624031067,0,91,2.1321528,136.5674,0.0,0.0,0.050072387,-6.003412,1.0,1.0,0.0,260.0,154.0,2044.0,15400.0,200.0,,494,1000,982.28,3632.2816,98228,1000,
92,0,19,3161.868187904358,29.769415855407715,0,92,2.1304588,136.88715,0.0,0.0,0.05001376,-6.003412,1.0,1.0,40.0,260.0,155.2,1880.9600000000005,15520.0,180.0,,559,1000,989.65,2615.4275,98965,1000,
93,0,6,3196.308073282242,29.237518787384033,0,93,2.1320505,137.19968,0.0,0.0,0.04994598,-6.003412,1.0,1.0,0.0,260.0,163.0,2059.0,16300.0,220.0,,479,1000,985.71,3436.165899999999,98571,1000,
94,0,4,3231.3019840717316,29.67384147644043,0,94,2.1349945,137.50533,0.0,0.0,0.049886163,-6.003412,1.0,1.0,100.0,240.0,156.0,1488.0,15600.0,220.0,,804,1000,992.96,815.6184000000001,99296,1000,
