,n_rejected,unp_rank,generations,workertimes,param_norm,walltimes,grad_norm,n_reused,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
77,0,25,77,28.838506937026978,198.45984,2792.6374657154083,44.918274,0,163.00656127929688,0.0,0.05,-5.9914646,0.05,80.0,240.0,163.0,1459.0,16300.0,180.0,,713,1000,986.11,2365.9179000000004,98611,1000,
78,0,34,78,29.813852548599243,199.87088,2829.597156524658,49.94332,0,158.6057586669922,0.0,0.05,-5.9914646,0.05,20.0,240.0,158.6,1818.0399999999995,15860.0,160.0,,663,1000,988.21,2450.3659000000007,98821,1000,
79,0,2,79,30.07098364830017,201.26445,2866.7494628429413,49.904816,0,155.19837951660156,0.0,0.05,-5.9914646,0.05,0.0,260.0,155.2,2456.9600000000005,15520.0,240.0,,817,1000,994.08,669.2136000000005,99408,1000,
80,0,5,80,29.16437554359436,202.64342,2903.2333750724792,49.90777,0,150.0010528564453,0.0,0.05,-5.9914646,0.05,0.0,240.0,150.0,2284.0,15000.0,220.0,,659,1000,982.68,3219.0976,98268,1000,
81,0,5,81,30.28471851348877,204.01242,2940.666665315628,49.88685,0,158.8035888671875,0.0,0.05,-5.9914646,0.05,0.0,240.0,158.8,2070.56,15880.0,220.0,,857,1000,996.08,318.05359999999996,99608,1000,
82,0,14,82,28.267083406448364,205.3694,2976.1837091445923,49.84422,0,156.19273376464844,0.0,0.05,-5.9914646,0.05,0.0,260.0,156.2,2741.5600000000004,15620.0,200.0,,745,1000,985.37,2684.8331000000007,98537,1000,
83,0,1,83,29.312024116516113,206.7199,3012.6363315582275,49.890285,0,156.6001434326172,0.0,0.05,-5.9914646,0.05,0.0,260.0,156.6,2584.44,15660.0,260.0,,402,1000,980.23,5974.337100000002,98023,1000,
84,0,3,84,29.927820920944214,208.06512,3049.7181780338287,49.855885,0,152.19461059570312,0.0,0.05,-5.9914646,0.05,0.0,260.0,152.2,1839.16,15220.0,220.0,,737,1000,982.04,2788.1784000000007,98204,1000,
85,0,1,85,28.814733266830444,209.40602,3085.668420314789,49.898235,0,155.6109161376953,0.0,0.05,-5.9914646,0.05,20.0,240.0,155.6,2092.6399999999994,15560.0,240.0,,502,1000,980.0,4608.88,98000,1000,
86,0,19,86,28.898720741271973,210.73741,3122.1582086086273,46.198666,0,163.39747619628906,0.0,0.05,-5.9914646,0.05,0.0,260.0,163.4,2368.44,16340.0,200.0,,649,1000,979.05,4939.1675,97905,1000,
87,0,5,87,29.39725422859192,212.05882,3158.6827557086945,48.263542,0,164.39715576171875,0.0,0.05,-5.9914646,0.05,0.0,260.0,164.4,2220.6399999999994,16440.0,220.0,,820,1000,988.46,1307.7884,98846,1000,
88,0,26,88,29.361833810806274,213.3693,3195.2453281879425,49.902264,0,159.40396118164062,0.0,0.05,-5.9914646,0.05,20.0,260.0,159.4,2291.64,15940.0,180.0,,617,1000,980.69,3905.6939,98069,1000,
89,0,48,89,29.653461694717407,214.67079,3232.048232316971,48.768433,0,160.9823760986328,0.0,0.05,-5.9914646,0.05,0.0,260.0,161.0,2659.0,16100.0,160.0,,695,1000,986.81,2132.3738999999996,98681,1000,
90,0,18,90,29.494142293930054,215.96191,3268.754930973053,46.191288,0,166.2066650390625,0.0,0.05,-5.9914646,0.05,60.0,260.0,166.2,1693.56,16620.0,200.0,,640,1000,982.53,2797.8091000000004,98253,1000,
91,0,18,91,29.627895832061768,217.23929,3305.58336353302,47.280983,0,167.3997039794922,0.0,0.05,-5.9914646,0.05,40.0,260.0,167.4,1941.2400000000007,16740.0,200.0,,702,1000,984.13,3228.6531000000004,98413,1000,
92,0,7,92,28.940382719039917,218.50674,3341.72118806839,49.868744,0,162.5984344482422,0.0,0.05,-5.9914646,0.05,20.0,260.0,162.6,2589.2400000000002,16260.0,220.0,,652,1000,984.44,3512.9063999999994,98444,1000,
93,0,2,93,29.81936478614807,219.76523,3378.6458699703217,48.223557,0,163.40086364746094,0.0,0.05,-5.9914646,0.05,80.0,260.0,163.4,1856.44,16340.0,240.0,,836,1000,986.89,1437.6579000000004,98689,1000,
94,0,1,94,28.801424503326416,221.01213,3414.6915171146393,49.891434,0,158.00076293945312,0.0,0.05,-5.9914646,0.05,40.0,260.0,158.0,2132.0,15800.0,260.0,,607,1000,984.2,3181.5,98420,1000,
95,0,23,95,29.608915328979492,222.25246,3451.588338136673,47.205193,0,170.60108947753906,0.0,0.05,-5.9914646,0.05,40.0,260.0,170.6,1763.6399999999994,17060.0,200.0,,729,1000,985.22,2288.851599999999,98522,1000,
96,0,4,96,29.921294689178467,223.4812,3488.6768176555634,49.848267,0,170.39410400390625,0.0,0.05,-5.9914646,0.05,80.0,260.0,170.4,1987.84,17040.0,240.0,,751,1000,992.44,1256.6864000000003,99244,1000,
97,0,13,97,29.522337913513184,224.70454,3525.474579811096,49.890316,0,175.39918518066406,0.0,0.05,-5.9914646,0.05,100.0,260.0,175.4,1670.84,17540.0,220.0,,862,1000,993.75,592.3675,99375,1000,
98,0,24,98,29.945563316345215,225.92036,3562.7823882102966,46.236454,0,172.60211181640625,0.0,0.05,-5.9914646,0.05,60.0,260.0,172.6,1693.2400000000002,17260.0,200.0,,763,1000,993.93,974.2651000000001,99393,1000,
99,0,1,99,29.364426136016846,227.12537,3599.3068931102753,49.865425,0,157.60507202148438,0.0,0.05,-5.9914646,0.05,60.0,240.0,157.6,1402.2400000000007,15760.0,240.0,,569,1000,988.76,2734.0424000000003,98876,1000,
