,generations,walltimes,n_reused,unp_rank,workertimes,n_rejected,param_norm,grad_norm,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
13,13,459.08166670799255,0,5,27.35078477859497,0,51.980534,2.126482,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,141.0,1795.0,14100.0,160.0,,439,1000,948.03,9806.4091,94803,974,
14,14,491.6126754283905,0,9,27.574085235595703,0,54.335342,2.128625,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,142.2,1703.1599999999996,14220.0,160.0,,459,1000,945.97,8076.349099999999,94597,992,
15,15,525.804815530777,0,10,29.1935453414917,0,56.688934,2.1284485,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,144.4,2108.64,14440.0,160.0,,465,1000,960.82,6688.9476,96082,992,
16,16,560.3017649650574,0,7,29.392588138580322,0,59.029236,2.126352,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,146.2,1373.56,14620.0,160.0,,667,1000,965.2,4714.92,96520,966,
17,17,594.6997282505035,0,7,29.463233947753906,0,61.344036,2.12641,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,153.0,723.0,15300.0,160.0,,648,1000,970.49,3636.969899999999,97049,976,
18,18,628.9381062984467,0,8,29.280491590499878,0,63.628597,2.12818,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,152.6,885.2399999999994,15260.0,160.0,,732,1000,968.69,2548.5139,96869,984,
19,19,662.6499092578888,0,15,28.45556879043579,0,65.87589,2.1282706,0.0,0.0,0.05,-5.9914646,1.0,40.0,240.0,154.0,900.0,15400.0,160.0,,616,1000,957.49,6144.1499,95749,982,
20,20,695.9164779186249,0,5,28.180448532104492,0,68.08269,2.1296308,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,137.0,2187.0,13700.0,160.0,,651,1000,951.64,6815.6904,95164,990,
21,21,729.8323810100555,0,11,28.918295860290527,0,70.2481,2.127605,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,150.6,1211.64,15060.0,160.0,,727,1000,967.72,2982.9015999999997,96772,971,
22,22,764.5033643245697,0,13,29.722692489624023,0,72.36695,2.1288252,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,149.0,1379.0,14900.0,160.0,,573,1000,958.52,5314.2296,95852,981,
23,23,799.2357692718506,0,19,29.76576018333435,0,74.43888,2.128735,0.0,0.0,0.05,-5.9914646,1.0,20.0,220.0,156.4,883.04,15640.0,160.0,,739,1000,971.47,2752.7691000000004,97147,979,
24,24,832.9231848716736,0,5,28.5355281829834,0,76.4654,2.1300821,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,140.8,1551.3600000000006,14080.0,160.0,,643,1000,950.53,8009.3291,95053,993,
25,25,866.1907777786255,0,12,28.269701719284058,0,78.43835,2.1306186,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,143.4,1728.44,14340.0,160.0,,586,1000,957.58,6947.423600000001,95758,972,
26,26,898.8944509029388,0,15,27.74557375907898,0,80.357834,2.129892,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,131.4,3154.0400000000013,13140.0,160.0,,447,1000,943.18,12032.847599999996,94318,982,
27,27,932.5875070095062,0,17,28.71083378791809,0,82.227875,2.132042,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,134.6,3158.8399999999992,13460.0,160.0,,428,1000,946.74,12687.0324,94674,1000,
28,28,966.52667760849,0,10,28.8334481716156,0,84.0486,2.130388,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,123.0,3603.0,12300.0,160.0,,472,1000,954.98,9803.9196,95498,980,
29,29,999.3790190219879,0,10,27.88287901878357,0,85.82039,2.128944,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,125.6,3160.64,12560.0,160.0,,549,1000,941.45,10100.127500000002,94145,993,
30,30,1031.772786617279,0,13,27.38957142829895,0,87.541534,2.129432,0.0,0.0,0.05,-5.9914646,1.0,0.0,200.0,129.4,2875.64,12940.0,160.0,,468,1000,932.05,13764.327499999998,93205,1000,
31,31,1065.4377171993256,0,4,28.651976585388184,0,89.21176,2.1314774,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,134.4,2560.64,13440.0,180.0,,624,1000,945.19,9116.5539,94519,1000,
32,32,1098.908968925476,0,62,28.462854862213135,0,90.83737,2.1313503,0.0,0.0,0.05,-5.9914646,1.0,0.0,220.0,124.0,3848.0,12400.0,140.0,,463,1000,952.71,9606.4259,95271,1000,
33,33,1132.6722955703735,0,73,28.735641717910767,0,92.416954,2.1292028,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,128.4,3953.4399999999996,12840.0,120.0,,558,1000,959.86,9421.500399999999,95986,1000,
34,34,1166.0848343372345,0,15,28.388055324554443,0,93.95304,2.1292696,0.0,0.0,0.05,-5.9914646,1.0,0.0,260.0,128.0,3312.0,12800.0,160.0,,628,1000,949.59,10339.8819,94959,1000,
35,35,1198.7072215080261,0,6,27.69839096069336,0,95.44699,2.1294944,0.0,0.0,0.05,-5.9914646,1.0,0.0,240.0,120.2,4547.959999999999,12020.0,180.0,,437,1000,944.82,14947.9076,94482,1000,
