,accuracy_avg,accuracy_max,accuracy_min,accuracy_sum,accuracy_unp,accuracy_val,accuracy_var,beta_avg,beta_max,beta_med,beta_min,beta_std,generations,lr_0,lr_1,n_rejected,n_reused,observations_avg,observations_max,observations_min,observations_sum,observations_unp,observations_val,observations_var,return_avg,return_max,return_min,return_sum,return_unp,return_val,return_var,sigma_avg,sigma_max,sigma_med,sigma_min,sigma_std,unp_rank,walltimes,workertimes
668,0.9558799999999998,0.972,0.939,95.58799999999998,0.963,,4.034560000000006e-05,-5.959649085035907,-2.098315030385106,-5.993777769698971,-7.937683527581612,0.3527184305889166,668,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15521790087223053,-0.1162974163889885,-0.20158132910728455,-15.521790504455566,-0.12810063362121582,,0.00035346377990208566,0.05080174662951719,0.35023269057273865,0.04994220286607742,0.018895305693149567,0.009715686379470945,7,5089.19383597374,4.559875965118408
669,0.9557799999999999,0.976,0.941,95.57799999999999,0.966,,3.987160000000007e-05,-5.959571910456651,-1.9817575529526503,-5.9938554961046435,-8.045289940200066,0.3530417769598183,669,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1521749645471573,-0.11261147260665894,-0.1888061761856079,-15.217496871948242,-0.11357664316892624,,0.00024815453798510134,0.050803706969049844,0.37125030159950256,0.049940261989831924,0.017905542626976967,0.009741942985343154,2,5096.597702026367,4.775532245635986
670,0.9559099999999998,0.969,0.939,95.59099999999998,0.967,,3.422190000000006e-05,-5.959503242423072,-2.0472224453152768,-5.993656635910543,-8.005842220079685,0.3534276770180746,670,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15185639262199402,-0.11171150207519531,-0.19336789846420288,-15.185639381408691,-0.12170252948999405,,0.00023894605692476034,0.05080545129432258,0.3592950999736786,0.049945227801799774,0.018262214958667755,0.009756601331468051,3,5103.889508485794,4.651875734329224
671,0.9548399999999999,0.972,0.939,95.484,0.969,,5.21344000000001e-05,-5.959424972624806,-2.109175431415314,-5.993564149533621,-7.985268007340881,0.3538868765973994,671,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1554284542798996,-0.10651957243680954,-0.18941989541053772,-15.542845726013184,-0.11227354407310486,,0.00031355838291347027,0.05080743959944018,0.34833601117134094,0.04994753748178482,0.01845104992389679,0.009770935111925703,2,5111.289434909821,4.7597644329071045
672,0.9569200000000001,0.973,0.937,95.69200000000001,0.966,,5.573360000000005e-05,-5.959337015729994,-2.0964460720801585,-5.9934988149613115,-8.013170265007656,0.35436202071620215,672,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15247589349746704,-0.10920767486095428,-0.2006424516439438,-15.247590065002441,-0.11040695011615753,,0.00032050450681708753,0.05080967408088459,0.35056012868881226,0.04994916915893555,0.01819542422890663,0.009798866704200958,2,5118.643547296524,4.7124550342559814
673,0.9566599999999998,0.97,0.943,95.66599999999998,0.96,,5.1964400000000095e-05,-5.9592269052961635,-2.144419853957306,-5.993280451878775,-8.042941160537493,0.35440175210257924,673,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1507740467786789,-0.11141856014728546,-0.18932868540287018,-15.077404975891113,-0.12257280945777893,,0.00031961474451236427,0.05081247149551795,0.34225133061408997,0.049954622983932495,0.01792658306658268,0.00983613668896942,9,5125.983788490295,4.692149877548218
674,0.9553800000000001,0.971,0.932,95.53800000000001,0.968,,4.9235599999999986e-05,-5.9592257615971524,-2.175114354313757,-5.9936199391911025,-7.996433364721893,0.3547384883943746,674,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.1544790267944336,-0.12096130847930908,-0.20580004155635834,-15.44790267944336,-0.1160162165760994,,0.00032348607783205807,0.05081250055261295,0.3370388150215149,0.049946144223213196,0.01834833063185215,0.009834524553435451,1,5133.383836269379,4.751718521118164
675,0.9566299999999999,0.974,0.93,95.66299999999998,0.968,0.9652,5.711310000000005e-05,-5.959154181676134,-2.1319167511864974,-5.993606513730268,-7.91467617660511,0.35488618466591226,675,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,10000.0,0.0,-0.1528474986553192,-0.11194916814565659,-0.2052271068096161,-15.284749984741211,-0.1168546974658966,-0.11642324179410934,0.00026999370311386883,0.05081431916254488,0.344397634267807,0.04994647949934006,0.019113926216959953,0.009857194816133551,2,5142.3144199848175,6.279507875442505
676,0.9563399999999999,0.969,0.944,95.63399999999999,0.956,,3.0184400000000046e-05,-5.959156993319762,-2.2290575578558447,-5.993413495400014,-7.894673843743221,0.35494010878834115,676,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.15265578031539917,-0.10927270352840424,-0.190069317817688,-15.26557731628418,-0.13969700038433075,,0.00020137501996941864,0.05081424772671678,0.3280698359012604,0.04995130002498627,0.01930604688823223,0.009821131063215326,15,5149.615606784821,4.650007009506226
677,0.95766,0.981,0.94,95.76599999999999,0.961,,3.9724400000000077e-05,-5.959171623264348,-2.2737387651600165,-5.994171057547852,-7.94412466667232,0.3552984433337773,677,0.05,4.0,0,0,1000.0,1000,1000,100000,1000,,0.0,-0.14840783178806305,-0.10744741559028625,-0.19360046088695526,-14.84078311920166,-0.1331690549850464,,0.0002508502802811563,0.05081387602326206,0.3208218216896057,0.04993238300085068,0.01883454993367195,0.009789241542689708,21,5156.740807294846,4.466447353363037
