,param_norm,unp_rank,grad_norm,n_reused,workertimes,walltimes,n_rejected,generations,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
37,125.389915,3,49.881237,0,28.221235990524292,2558.2961645126343,0,37,141.60496520996094,283.2074279785156,0.050007235,-5.991175174713135,0.049734928,-6.002095699310303,0.050309252,-5.979132652282715,0.04999989,-5.991468906402588,5.1325984e-05,0.0020935927,0.05,0.05,0.0,200.0,141.6,1629.4399999999996,14160.0,180.0,,396,1000,948.64,9211.810400000002,94864,1000,
38,127.71147,67,49.862385,0,26.598637580871582,2623.963696241379,0,38,136.59945678710938,273.2718505859375,0.05000698,-5.991185188293457,0.04972691,-6.002418041229248,0.050311636,-5.979037761688232,0.049999915,-5.9914679527282715,5.234063e-05,0.0021336318,0.05,0.05,0.0,220.0,136.6,2056.44,13660.0,120.0,,412,1000,939.89,12305.037900000001,93989,863,
39,129.9951,1,49.923737,0,28.686452388763428,2691.388278245926,0,39,150.80409240722656,301.57830810546875,0.050006732,-5.991195201873779,0.04972026,-6.002685546875,0.050313964,-5.978945255279541,0.049999926,-5.991467475891113,5.334155e-05,0.0021731507,0.05,0.05,0.0,200.0,150.8,1427.3600000000004,15080.0,200.0,,672,1000,971.04,3942.398399999999,97104,1000,
40,132.24602,67,49.91811,0,27.305750608444214,2757.624103307724,0,40,134.80838012695312,269.56695556640625,0.050006498,-5.991204738616943,0.049713586,-6.002954006195068,0.05031618,-5.978857040405273,0.049999937,-5.991466999053955,5.4329466e-05,0.002212107,0.05,0.05,0.0,220.0,134.8,2036.9600000000005,13480.0,120.0,,485,1000,934.31,12421.893900000001,93431,858,
41,134.46237,4,49.8984,0,26.797631978988647,2823.34988117218,0,41,133.99725341796875,267.96502685546875,0.050006285,-5.991213321685791,0.049707007,-6.003218650817871,0.050319698,-5.97871732711792,0.049999975,-5.9914655685424805,5.5303317e-05,0.0022505007,0.05,0.05,0.0,220.0,134.0,2204.0,13400.0,180.0,,644,1000,940.92,8311.4536,94092,1000,
42,136.64665,5,49.897804,0,28.96745538711548,2891.9457087516785,0,42,144.0032501220703,288.0029296875,0.050006058,-5.991222381591797,0.049700454,-6.003482341766357,0.05032205,-5.978623867034912,0.05,-5.991464614868164,5.626311e-05,0.0022883906,0.05,0.05,0.0,220.0,144.0,1632.0,14400.0,180.0,,446,1000,962.81,6729.273900000001,96281,1000,
43,138.80238,10,49.855255,0,27.640258073806763,2958.7149651050568,0,43,142.3998260498047,284.9230041503906,0.05000585,-5.991230487823486,0.04969445,-6.003724098205566,0.050323118,-5.978581428527832,0.050000034,-5.9914631843566895,5.721031e-05,0.0023258305,0.05,0.05,0.0,220.0,142.4,1610.2400000000007,14240.0,160.0,,661,1000,942.06,7466.4364000000005,94206,995,
44,140.92656,84,49.877182,0,27.588005781173706,3025.550164461136,0,44,142.59646606445312,285.2645263671875,0.05000567,-5.991237640380859,0.049684618,-6.004119873046875,0.050324295,-5.978534698486328,0.050000023,-5.991463661193848,5.8146252e-05,0.002362745,0.05,0.05,0.0,200.0,142.6,1797.2400000000002,14260.0,120.0,,589,1000,964.43,5861.525099999999,96443,866,
45,143.02376,14,49.877163,0,28.718145847320557,3093.0500366687775,0,45,144.1993865966797,288.40911865234375,0.05000546,-5.991246223449707,0.049674194,-6.004539489746094,0.050325733,-5.978477478027344,0.050000034,-5.9914631843566895,5.9069065e-05,0.0023992183,0.05,0.05,0.0,220.0,144.2,1890.36,14420.0,160.0,,591,1000,957.14,6759.040399999999,95714,1000,
46,145.09283,77,49.885666,0,28.532516479492188,3161.124945163727,0,46,151.40577697753906,302.697998046875,0.05000527,-5.991253852844238,0.049664885,-6.004914283752441,0.050328743,-5.978357791900635,0.050000045,-5.991462707519531,5.9980848e-05,0.0024352123,0.05,0.05,20.0,200.0,151.4,810.0400000000003,15140.0,140.0,,623,1000,969.81,3589.8939,96981,890,
