,unp_rank,grad_norm,workertimes,n_reused,n_rejected,param_norm,walltimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val,accuracy_min,accuracy_max,accuracy_avg,accuracy_var,accuracy_sum,accuracy_unp,accuracy_val
68,1,0.24339987,3.2469303607940674,0,0,13.749365,239.24284029006958,68,0.0,0.0,0.05,-5.9914646,0.05,-2.566115379333496,-2.084287643432617,-2.3431434631347656,0.007599020376801491,-234.31434631347656,-2.0747626,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
69,1,0.24315584,3.475541114807129,0,0,13.742971,242.8935625553131,69,0.0,0.0,0.05,-5.9914646,0.05,-2.5287885665893555,-2.0724401473999023,-2.32730770111084,0.007664424832910299,-232.7307586669922,-2.0336778,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
70,1,0.24123201,3.4197661876678467,0,0,13.7365465,246.4894573688507,70,0.0,0.0,0.05,-5.9914646,0.05,-2.589244842529297,-2.1461052894592285,-2.3340611457824707,0.008538557216525078,-233.40611267089844,-2.0230763,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
71,2,0.2427715,3.228360414505005,0,0,13.730159,249.88915872573853,71,0.0,0.0,0.05,-5.9914646,0.05,-2.544254779815674,-2.0717544555664062,-2.3284311294555664,0.010159293189644814,-232.84310913085938,-2.0754166,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
72,1,0.24450326,3.4271011352539062,0,0,13.7238245,253.49347448349,72,0.0,0.0,0.05,-5.9914646,0.05,-2.518057346343994,-2.1145620346069336,-2.313647985458374,0.007210484240204096,-231.3647918701172,-2.018768,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
73,1,0.24249686,3.5452229976654053,0,0,13.717395,257.21290493011475,73,0.0,0.0,0.05,-5.9914646,0.05,-2.571868658065796,-2.1000630855560303,-2.313692092895508,0.00839047972112894,-231.36920166015625,-2.0425398,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
74,1,0.2437077,3.4376938343048096,0,0,13.710948,260.82579946517944,74,0.0,0.0,0.05,-5.9914646,0.05,-2.5207695960998535,-2.1031603813171387,-2.3059046268463135,0.006287131924182177,-230.59046936035156,-1.9817882,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
75,1,0.24409091,6.38874888420105,0,0,13.704537,267.3936595916748,75,0.0,0.0,0.05,-5.9914646,0.05,-2.4869112968444824,-2.1436586380004883,-2.3120276927948,0.006744673941284418,-231.2027587890625,-2.0086484,-1.9875109,1000,1000,1000.0,0.0,100000,1000,10000.0,0,0,0.0,0.0,0,0,0.0
76,1,0.24421678,3.009694814682007,0,0,13.697963,270.5748529434204,76,0.0,0.0,0.05,-5.9914646,0.05,-2.6045944690704346,-2.0714383125305176,-2.28266978263855,0.007994384504854679,-228.26698303222656,-1.9674796,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
77,1,0.24257082,3.573099374771118,0,0,13.69144,274.3226869106293,77,0.0,0.0,0.05,-5.9914646,0.05,-2.5071675777435303,-2.060622453689575,-2.3048717975616455,0.006916970480233431,-230.4871826171875,-1.9774741,,1000,1000,1000.0,0.0,100000,1000,,0,0,0.0,0.0,0,0,
