,grad_norm,n_rejected,unp_rank,param_norm,workertimes,generations,n_reused,walltimes,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
54,2.1311517,0,10,116.841896,27.472920417785645,54,0,1882.417172908783,0.0,0.0,0.05002663,-5.9903998374938965,0.04999255,-5.991762638092041,0.050013337,-5.990931034088135,0.049999904,-5.99146842956543,1.7015398e-06,6.8320915e-05,1.0,1.0,0.0,200.0,143.2,1845.7599999999998,14320.0,160.0,,550,1000,950.4,10240.160000000002,95040,983,
55,2.13006,0,13,117.677,29.326223134994507,55,0,1917.6904575824738,0.0,0.0,0.05002663,-5.9903998374938965,0.049992476,-5.99176549911499,0.05001341,-5.9909281730651855,0.049999904,-5.99146842956543,1.7080187e-06,6.8577996e-05,1.0,1.0,0.0,220.0,149.0,1691.0,14900.0,160.0,,706,1000,975.44,2167.3064,97544,982,
56,2.129878,0,10,118.48834,27.755916833877563,56,0,1951.3746809959412,0.0,0.0,0.05002663,-5.9903998374938965,0.04999243,-5.991767406463623,0.050013505,-5.99092435836792,0.049999904,-5.99146842956543,1.7144464e-06,6.883258e-05,1.0,1.0,0.0,220.0,136.2,2413.56,13620.0,160.0,,641,1000,937.79,12015.9659,93779,968,
57,2.131134,0,9,119.27714,28.369558095932007,57,0,1985.628737449646,0.0,0.0,0.05002664,-5.990399360656738,0.049992394,-5.991768836975098,0.05001357,-5.990921974182129,0.049999904,-5.99146842956543,1.7208114e-06,6.9084665e-05,1.0,1.0,0.0,200.0,141.8,1784.7599999999993,14180.0,160.0,,641,1000,960.28,5356.661599999998,96028,988,
58,2.1313543,0,8,120.04534,28.034629583358765,58,0,2019.5815870761871,0.0,0.0,0.05002664,-5.990399360656738,0.049992356,-5.991770267486572,0.0500136,-5.990920543670654,0.049999904,-5.99146842956543,1.7271137e-06,6.933527e-05,1.0,1.0,0.0,220.0,144.2,2002.3600000000004,14420.0,160.0,,503,1000,959.47,7999.149099999999,95947,986,
59,2.1314092,0,9,120.793526,28.5828754901886,59,0,2054.185400247574,0.0,0.0,0.050026648,-5.99039888381958,0.0499923,-5.991772651672363,0.050013624,-5.990919589996338,0.049999904,-5.99146842956543,1.7333795e-06,6.9584676e-05,1.0,1.0,0.0,220.0,143.8,1837.56,14380.0,160.0,,648,1000,957.49,7588.189900000001,95749,992,
60,2.1323102,0,6,121.5207,27.901332139968872,60,0,2088.0711686611176,0.0,0.0,0.050026648,-5.99039888381958,0.049992226,-5.9917755126953125,0.05001366,-5.990918159484863,0.049999904,-5.99146842956543,1.7396146e-06,6.9831556e-05,1.0,1.0,0.0,220.0,144.4,1764.64,14440.0,160.0,,640,1000,958.21,7109.0059,95821,980,
61,2.130744,0,9,122.22984,27.89458918571472,61,0,2121.875164270401,0.0,0.0,0.050026648,-5.99039888381958,0.049992144,-5.99177885055542,0.0500137,-5.990916728973389,0.049999904,-5.99146842956543,1.7457883e-06,7.007722e-05,1.0,1.0,0.0,220.0,139.6,2495.84,13960.0,160.0,,640,1000,961.85,6060.9675,96185,969,
62,2.128863,0,9,122.91945,27.98907446861267,62,0,2155.779242992401,0.0,0.0,0.050026655,-5.990398406982422,0.049992047,-5.9917826652526855,0.050013732,-5.990915298461914,0.049999904,-5.99146842956543,1.7519283e-06,7.0321395e-05,1.0,1.0,0.0,200.0,150.0,1188.0,15000.0,160.0,,496,1000,952.68,7782.837600000002,95268,977,
63,2.1311774,0,8,123.589905,27.717366933822632,63,0,2189.4081287384033,0.0,0.0,0.050026655,-5.990398406982422,0.049991976,-5.991785526275635,0.05001376,-5.990914344787598,0.049999904,-5.99146842956543,1.7580343e-06,7.056427e-05,1.0,1.0,20.0,200.0,147.4,1021.2399999999999,14740.0,160.0,,480,1000,945.89,9139.5179,94589,977,
