,param_norm,walltimes,n_reused,unp_rank,n_rejected,grad_norm,workertimes,generations,baseline_mu,baseline_sigma,sigma,beta,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
56,825.21814,2086.93838095665,0,2,0,618.7188,29.436483144760132,56,156.6023406982422,156.6043701171875,0.0040278537,-11.349411,0.05,0.05,120.0,200.0,156.6,192.44000000000008,15660.0,180.0,,829,1000,987.95,1447.8274999999996,98795,1000,
57,872.60925,2122.8889820575714,0,55,0,625.80035,26.5762677192688,57,130.9998016357422,131.00152587890625,0.0039852317,-11.349411,0.05,0.05,40.0,200.0,131.0,643.0,13100.0,120.0,,539,1000,885.54,11826.1684,88554,763,
58,918.8765,2161.133404493332,0,46,0,602.7927,29.401020526885986,58,169.00137329101562,169.00286865234375,0.0039602285,-11.349411,0.05,0.05,120.0,240.0,169.0,1003.0,16900.0,160.0,,657,1000,964.2,5236.22,96420,1000,
59,963.8339,2200.8123009204865,0,2,0,561.18414,30.097519159317017,59,183.59912109375,183.59942626953125,0.0039561777,-11.349411,0.05,0.05,140.0,240.0,183.6,507.04,18360.0,220.0,,969,1000,999.69,9.513900000000001,99969,1000,
60,1007.44745,2240.2292528152466,0,98,0,636.47363,30.011974334716797,60,150.40499877929688,150.41110229492188,0.003921445,-11.349411,0.05,0.05,80.0,200.0,150.4,475.8400000000001,15040.0,100.0,,805,1000,997.67,388.52109999999993,99767,1000,
61,1049.8595,2279.126113176346,0,23,0,630.93866,29.47024941444397,61,154.99722290039062,154.99378967285156,0.0039525293,-11.349411,0.05,0.05,120.0,220.0,155.0,491.0,15500.0,160.0,,906,1000,999.06,87.47639999999993,99906,1000,
62,1091.0376,2318.278095960617,0,1,0,570.69464,29.790066957473755,62,180.1964111328125,180.19374084472656,0.0039299303,-11.349411,0.05,0.05,120.0,240.0,180.2,963.96,18020.0,240.0,,861,1000,991.8,701.8800000000001,99180,1000,
63,1130.9839,2356.181646347046,0,48,0,628.9886,28.537459135055542,63,155.4005126953125,155.3997344970703,0.0038745652,-11.349411,0.05,0.05,120.0,220.0,155.4,854.84,15540.0,140.0,,759,1000,947.53,5062.029100000001,94753,847,
64,1169.8606,2393.5751717090607,0,33,0,626.30225,28.380768060684204,64,161.60646057128906,161.61033630371094,0.0038118863,-11.349411,0.05,0.05,120.0,220.0,161.6,1293.4399999999998,16160.0,180.0,,830,1000,939.45,5879.7675,93945,1000,
65,1207.7726,2430.2972977161407,0,57,0,662.02026,27.360432624816895,65,159.19712829589844,159.19265747070312,0.0037662282,-11.349411,0.05,0.05,120.0,220.0,159.2,1167.3600000000001,15920.0,140.0,,827,1000,933.32,5749.1376,93332,830,
66,1244.8407,2466.433176755905,0,56,0,644.06287,27.159905910491943,66,150.997802734375,150.99334716796875,0.00366423,-11.349411,0.05,0.05,120.0,200.0,151.0,1107.0,15100.0,120.0,,830,1000,915.32,6143.2776,91532,840,
67,1281.1321,2502.537759780884,0,55,0,680.4751,27.08809185028076,67,143.998046875,143.99685668945312,0.0035450337,-11.349411,0.05,0.05,120.0,200.0,144.0,616.0,14400.0,120.0,,834,1000,917.52,5837.169599999998,91752,859,
68,1316.869,2539.549848794937,0,3,0,727.1648,27.45370388031006,68,153.6033935546875,153.60533142089844,0.0034316794,-11.422088,0.05,0.05,120.0,200.0,153.6,391.04,15360.0,180.0,,834,1000,951.62,4995.9356,95162,1000,
69,1352.236,2576.1623883247375,0,65,0,741.8656,27.26604986190796,69,150.40423583984375,150.40762329101562,0.0033612794,-11.422088,0.05,0.05,120.0,200.0,150.4,467.84000000000015,15040.0,140.0,,832,1000,946.76,5066.5224,94676,837,
70,1387.3019,2612.543970346451,0,51,0,689.7881,27.256081581115723,70,142.40310668945312,142.40582275390625,0.0033166048,-11.422088,0.05,0.05,120.0,180.0,142.4,610.24,14240.0,120.0,,836,1000,910.54,5593.6284,91054,850,
71,1422.1924,2650.0818428993225,0,10,0,754.655,28.536611318588257,71,147.19757080078125,147.19789123535156,0.0033054096,-11.422088,0.05,0.05,120.0,180.0,147.2,436.16,14720.0,160.0,,832,1000,938.12,5997.285599999999,93812,1000,
72,1456.9747,2689.9164006710052,0,20,0,727.6764,30.546266078948975,72,163.80116271972656,163.80233764648438,0.003291027,-11.422088,0.05,0.05,160.0,180.0,163.8,61.56000000000002,16380.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
73,1491.5662,2729.8264288902283,0,1,0,676.26404,30.610735177993774,73,164.39955139160156,164.39871215820312,0.0033277983,-11.422088,0.05,0.05,160.0,180.0,164.4,68.63999999999999,16440.0,180.0,,1000,1000,1000.0,0.0,100000,1000,
74,1525.9851,2769.1030583381653,0,19,0,739.81665,29.994512796401978,74,163.6004638671875,163.6002197265625,0.0033254507,-11.422088,0.05,0.05,160.0,180.0,163.6,59.04,16360.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
75,1560.646,2808.8779385089874,0,12,0,960.0568,30.487680196762085,75,162.20095825195312,162.20193481445312,0.003337796,-11.422088,0.05,0.05,160.0,180.0,162.2,39.16000000000001,16220.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
76,1596.0648,2847.991466283798,0,11,0,1011.37524,29.8254976272583,76,161.99964904785156,161.99888610839844,0.0033282696,-11.422088,0.05,0.05,160.0,180.0,162.0,36.0,16200.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
77,1632.2161,2887.1768112182617,0,17,0,782.88666,29.863492012023926,77,163.19927978515625,163.19866943359375,0.0033390967,-11.422088,0.05,0.05,160.0,180.0,163.2,53.76000000000001,16320.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
78,1668.7407,2926.3973293304443,0,23,0,687.4234,29.83341360092163,78,164.3994140625,164.39976501464844,0.0032752184,-11.422088,0.05,0.05,160.0,180.0,164.4,68.63999999999999,16440.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
79,1705.3046,2965.7082879543304,0,23,0,697.9461,29.897374391555786,79,164.401123046875,164.40252685546875,0.0032255128,-11.422088,0.05,0.05,160.0,180.0,164.4,68.63999999999999,16440.0,160.0,,1000,1000,1000.0,0.0,100000,1000,
80,1741.6993,3005.4040989875793,0,1,0,708.32935,30.353615760803223,80,164.20050048828125,164.2005615234375,0.003237754,-11.422088,0.05,0.05,160.0,180.0,164.2,66.36000000000001,16420.0,180.0,,1000,1000,1000.0,0.0,100000,1000,
81,1777.8118,3044.3637857437134,0,13,0,766.11865,29.473053216934204,81,156.7989044189453,156.79783630371094,0.0032567843,-11.422088,0.05,0.05,120.0,180.0,156.8,261.76000000000005,15680.0,160.0,,833,1000,978.99,2738.7898999999998,97899,1000,
82,1813.5981,3081.5238325595856,0,76,0,771.12756,27.872893571853638,82,146.80186462402344,146.80282592773438,0.0032322425,-11.422088,0.05,0.05,120.0,180.0,146.8,329.76,14680.0,120.0,,835,1000,933.11,5282.7779,93311,847,
83,1849.0587,3117.8147978782654,0,4,0,766.43384,27.326908349990845,83,143.0010223388672,143.00160217285156,0.0032526823,-11.422088,0.05,0.05,120.0,200.0,143.0,443.0,14300.0,160.0,,836,1000,936.59,5360.041900000002,93659,1000,
84,1884.0565,3158.1250324249268,0,25,0,662.0727,30.64188027381897,84,140.20054626464844,140.20089721679688,0.0033092166,-12.0465,0.05,0.05,100.0,200.0,140.2,531.9600000000002,14020.0,140.0,,905,1000,994.84,422.59439999999995,99484,1000,
85,1918.4551,3196.88866519928,0,2,0,736.1232,29.093846321105957,85,155.80172729492188,155.806396484375,0.003387571,-12.0465,0.05,0.05,100.0,220.0,155.8,594.36,15580.0,200.0,,868,1000,990.48,906.8295999999995,99048,1000,
86,1952.3651,3235.0604054927826,0,13,0,721.5355,28.882444143295288,86,154.60459899902344,154.61038208007812,0.0034536025,-12.0465,0.05,0.05,100.0,220.0,154.6,894.84,15460.0,180.0,,821,1000,967.25,3046.5875,96725,1000,
