,grad_norm,n_reused,unp_rank,walltimes,generations,n_rejected,param_norm,workertimes,baseline_mu,baseline_sigma,sigma_avg,beta_avg,sigma_min,beta_min,sigma_max,beta_max,sigma_med,beta_med,sigma_std,beta_std,lr_0,lr_1,return_min,return_max,return_avg,return_var,return_sum,return_unp,return_val,observations_min,observations_max,observations_avg,observations_var,observations_sum,observations_unp,observations_val
56,2.498792,0,66,3864.526028394699,56,0,137.82103,28.246105194091797,128.20562744140625,256.5784606933594,0.050026987,-5.99038553237915,0.049981285,-5.992213249206543,0.050018396,-5.990728855133057,0.050000012,-5.991464138031006,3.4420452e-06,0.00013926903,1.0,1.0,0.0,220.0,128.2,3424.76,12820.0,120.0,,464,1000,944.37,11498.073099999998,94437,920,
57,2.4984908,0,53,3930.245833158493,57,0,138.78041,26.198644399642944,109.40160369873047,218.8177032470703,0.050026987,-5.99038553237915,0.04998123,-5.992215633392334,0.050018456,-5.990726470947266,0.050000012,-5.991464138031006,3.4817228e-06,0.00014082988,1.0,1.0,0.0,220.0,109.4,3387.64,10940.0,100.0,,477,1000,940.72,11367.5816,94072,932,
58,2.4997463,0,57,3998.0785825252533,58,0,139.71535,28.0927095413208,132.79563903808594,265.6014404296875,0.05002699,-5.990385055541992,0.049981132,-5.9922194480896,0.050018538,-5.990723133087158,0.050000012,-5.991464138031006,3.5207452e-06,0.00014236534,1.0,1.0,0.0,200.0,132.8,2012.16,13280.0,140.0,,568,1000,951.62,7752.235599999999,95162,1000,
59,2.498058,0,55,4066.056170940399,59,0,140.62364,27.48475193977356,128.1947021484375,256.3933410644531,0.050026994,-5.990385055541992,0.049980965,-5.9922261238098145,0.050018635,-5.990719318389893,0.050000012,-5.991464138031006,3.5591322e-06,0.00014387732,1.0,1.0,0.0,220.0,128.2,2680.7599999999993,12820.0,140.0,,540,1000,949.41,8845.081900000001,94941,1000,
60,2.496277,0,65,4133.798226118088,60,0,141.50542,27.67200469970703,134.40243530273438,268.8703308105469,0.050026994,-5.990385055541992,0.049980868,-5.99222993850708,0.050018728,-5.990715503692627,0.050000012,-5.991464138031006,3.5969288e-06,0.00014536789,1.0,1.0,0.0,240.0,134.4,3080.64,13440.0,120.0,,542,1000,949.72,9065.541599999999,94972,968,
61,2.4978788,0,82,4201.225353240967,61,0,142.36522,27.588876724243164,130.01210021972656,260.1280212402344,0.050026998,-5.990385055541992,0.04998069,-5.992237091064453,0.05001879,-5.990713119506836,0.050000012,-5.991464138031006,3.6341944e-06,0.00014684281,1.0,1.0,0.0,220.0,130.0,2740.0,13000.0,80.0,,405,1000,933.35,15067.507499999998,93335,842,
62,2.498121,0,84,4267.490263223648,62,0,143.20045,27.2289879322052,138.60150146484375,277.2720642089844,0.050026998,-5.990385055541992,0.049980596,-5.992240905761719,0.050018895,-5.990708827972412,0.050000012,-5.991464138031006,3.6710685e-06,0.00014830269,1.0,1.0,0.0,240.0,138.6,2658.04,13860.0,80.0,,558,1000,946.24,9328.942400000002,94624,830,
63,2.4998631,0,4,4336.817992925644,63,0,144.01006,28.863706827163696,129.4046173095703,258.95941162109375,0.050026998,-5.990385055541992,0.049980536,-5.99224328994751,0.050019078,-5.990701675415039,0.050000012,-5.991464138031006,3.7075645e-06,0.00014974675,1.0,1.0,0.0,220.0,129.4,2915.64,12940.0,180.0,,615,1000,945.93,9324.785100000001,94593,1000,
64,2.4983003,0,5,4404.600260972977,64,0,144.79831,27.977145671844482,133.0072021484375,265.9861145019531,0.050027005,-5.990384578704834,0.049980417,-5.992248058319092,0.050019324,-5.990691661834717,0.050000012,-5.991464138031006,3.7436644e-06,0.00015118056,1.0,1.0,0.0,200.0,133.0,2555.0,13300.0,180.0,,632,1000,951.42,6533.103599999999,95142,1000,
65,2.49823,0,13,4471.888799905777,65,0,145.56711,27.376436471939087,131.40525817871094,262.9067687988281,0.050027005,-5.990384578704834,0.049980294,-5.992252826690674,0.050019506,-5.990684509277344,0.050000012,-5.991464138031006,3.779511e-06,0.00015260463,1.0,1.0,0.0,200.0,131.4,2530.0399999999995,13140.0,160.0,,540,1000,934.25,14221.2675,93425,965,
66,2.4970531,0,10,4538.8869206905365,66,0,146.31795,26.933947801589966,143.39724731445312,286.8103942871094,0.050027005,-5.990384578704834,0.04998018,-5.992257595062256,0.050019696,-5.9906768798828125,0.050000012,-5.991464138031006,3.815113e-06,0.00015401658,1.0,1.0,0.0,240.0,143.4,2120.44,14340.0,160.0,,639,1000,955.2,7941.839999999999,95520,973,
67,2.4986079,0,9,4606.48891377449,67,0,147.04727,27.77480673789978,139.0055389404297,277.9314270019531,0.05002701,-5.990384578704834,0.04998001,-5.992264270782471,0.050019875,-5.9906697273254395,0.050000012,-5.991464138031006,3.8504113e-06,0.00015541737,1.0,1.0,0.0,220.0,139.0,1763.0,13900.0,160.0,,581,1000,946.8,7546.019999999999,94680,975,
68,2.4981766,0,14,4672.644794225693,68,0,147.75612,26.31142544746399,141.3931427001953,282.7981262207031,0.05002701,-5.990384578704834,0.0499798,-5.992272853851318,0.050020065,-5.990662097930908,0.050000012,-5.991464138031006,3.885431e-06,0.00015680943,1.0,1.0,0.0,220.0,141.4,2106.0399999999995,14140.0,160.0,,538,1000,945.3,9175.470000000001,94530,970,
